exit_area_ratio,target_fraction,target_shock_area_ratio,exact_back_pressure_ratio,surrogate_back_pressure_ratio,newton_iterations,shock_target_abs_error,back_pressure_abs_error,analytic_gradient,finite_difference_gradient,gradient_relative_difference
2.0,0.25,1.25,0.8237152451573068,0.8229794320771301,4,6.822264309036541e-09,0.0007358130801766727,-1.820869108209295,-1.8208691086209776,2.2609131320342899e-10
2.0,0.5,1.5,0.7044519779223268,0.7045959544788939,4,1.2434497875801753e-14,0.00014397655656706032,-2.4210380020930478,-2.421038001824028,1.111175938796002e-10
2.0,0.75,1.75,0.6021733039334006,0.6029062927059233,4,1.500626289896445e-10,0.0007329887725227024,-2.447441806435485,-2.4474418070234467,2.402352030010797e-10
3.25,0.25,1.5625,0.7343624318790101,0.7356005784522182,4,2.5322099972413525e-10,0.0012381465732080876,-2.6895544924912613,-2.689554492465218,9.683078627113508e-12
3.25,0.5,2.125,0.5588744256673902,0.5580133665377728,5,1.056932319443149e-13,0.0008610591296174253,-3.895095244098644,-3.8950952445773517,1.2290013723827644e-10
3.25,0.75,2.6875,0.44003014168467824,0.43959305245136276,6,4.758859972753271e-12,0.00043708923331547966,-5.686016113546754,-5.686016112997919,9.652360185296547e-11
4.5,0.25,1.875,0.645236252738969,0.6450355002596607,4,2.426947531830592e-13,0.000200752479308286,-3.380710057399307,-3.380710057796763,1.1756578920344996e-10
4.5,0.5,2.75,0.45573645744913166,0.45607864489641425,6,4.440892098500626e-16,0.00034218744728259365,-6.315302824542178,-6.315302825355996,1.2886450080881373e-10
4.5,0.75,3.625,0.343563685461677,0.34402788146494356,6,5.268363523214248e-11,0.0004641960032665815,-9.50737701752765,-9.50737701931387,1.8787717884164742e-10
