problem,training_samples,seed,rel_l2,rel_linf,mae,rmse,max_abs
Fanno inverse,200,11,0.007857469469597542,0.007753230313377029,0.009145256328970048,0.01474480028836154,0.038378490051216296
Fanno inverse,200,29,0.004253728144967914,0.008047680157146972,0.005966299157079197,0.00798226098379572,0.039836016777877514
Fanno inverse,200,47,0.005329074895791965,0.004686017425695866,0.006585131798686631,0.010000184584134092,0.02319578625719454
Fanno inverse,500,11,0.0038018935877839727,0.0032263943155819265,0.005295587924141902,0.007134378553601724,0.015970651862130536
Fanno inverse,500,29,0.011722900703110821,0.009665595214485581,0.014749174031208817,0.021998409327133605,0.04784469631170363
Fanno inverse,500,47,0.002927107569423971,0.0025096273965779115,0.0039627051003048785,0.005492813774295002,0.012422655613060662
Fanno inverse,900,11,0.005822805571501867,0.006656432674511384,0.00727269423301,0.010926686460819483,0.03294934173883135
Fanno inverse,900,29,0.01819691242952473,0.03790377718183636,0.01720546662259645,0.034147105588676084,0.18762369705008997
Fanno inverse,900,47,0.0031559760838086636,0.00397190845403349,0.004341767940899772,0.0059222930805721075,0.019660946847465777
Oblique inverse,200,11,0.0026326080399719076,0.01037602391386355,0.0018898931811069356,0.002970172369093272,0.016255156551886474
Oblique inverse,200,29,0.0023420539871701475,0.012741936732648911,0.0017308842145637982,0.0026423622255942547,0.01996161324249668
Oblique inverse,200,47,0.0030021547394293215,0.0145106635564605,0.0020150362446588947,0.0033871039362511914,0.022732513893579775
Oblique inverse,500,11,0.0021799211955468006,0.01369291099691882,0.0014522605137847866,0.0024594400698871102,0.0214514166268035
Oblique inverse,500,29,0.002432264963457139,0.012115395954286772,0.001615674142028054,0.002744140441374304,0.018980069780091036
Oblique inverse,500,47,0.0031363944877946387,0.013326362136102053,0.002019298330949393,0.003538556482689875,0.020877178444051125
Oblique inverse,900,11,0.0020936706522758954,0.006100812204389394,0.001461830628284224,0.002362130110883392,0.009557577960427333
Oblique inverse,900,29,0.0025610497863093077,0.014300509333388955,0.0015913078175311568,0.0028894386082818865,0.02240328471827846
Oblique inverse,900,47,0.0031572134413386573,0.01344274039741276,0.0020464545477466498,0.0035620449320264286,0.021059497497336488
