problem,interior_training_count,edge_test_count,valid_rate,rel_l2,rel_linf,mae,rmse,max_abs
Rayleigh inverse,674,233,1.0,0.034137220443599174,0.06631710308576737,0.06303438834907614,0.10642005184227585,0.3282696602745485
Fanno inverse,674,563,1.0,0.043016265358862917,0.07242934874307153,0.0592453607143751,0.07993737028244674,0.3585252762782041
Oblique inverse,548,370,1.0,0.00754723681504906,0.028563417675315422,0.005006100926244792,0.00858987189266164,0.044747663442526564
Nozzle inverse,543,368,1.0,0.01064150970596812,0.022627209840449934,0.01759513378189772,0.0253197268961597,0.10887647694978497
Shock tube implicit,539,365,1.0,0.004317924167080709,0.008153855009510933,0.015814183238338008,0.02375418957359381,0.10407466597872705
