problem,rel_l2_mean,rel_l2_std,rel_linf_mean,rel_linf_std,mae_mean,mae_std,rmse_mean,rmse_std,max_abs_mean,max_abs_std
Fanno inverse,0.002364860182317645,0.0003273569034836225,0.0031247729136983913,0.0020596276288350154,0.0031552715382990176,0.0001342787588737129,0.004437738031702201,0.0006142960126741268,0.015467625922807038,0.010195156762733327
Nozzle inverse,0.0016800414841077087,0.0005544406202292327,0.004315396590870517,0.001683785323774639,0.0026915690540729197,0.0009109380709382768,0.0038469980360302017,0.0012695710179145084,0.02076460954612121,0.00810195403167262
Oblique inverse,0.0009414420368424314,9.295062234819336e-05,0.003713148328063088,0.0006876959195048305,0.0006228175268121576,6.543961412361459e-05,0.0010621577851604974,0.00010486915104596168,0.005817045900635994,0.0010773495632280345
Rayleigh inverse,0.0014876259253434516,0.0006456827621920279,0.0023406538963100074,0.0011591424433130377,0.0022507084957509196,0.0008983093582586022,0.0034254770418438614,0.0014867793310959433,0.011586236786734538,0.0057377550943995366
Shock tube implicit,0.0014168504625921789,0.00037364268391016373,0.004251735054230632,0.001091109058322954,0.0038850668370781975,0.0013683170404212553,0.00704208125117747,0.0018570923385870098,0.054268552124480195,0.013926763556485654
