problem,model,rel_l2,rel_linf,mae,rmse,max_abs
Rayleigh inverse,physics_guided_mlp,0.0016418787252886187,0.0025213619727350155,0.002226784071745316,0.0037806667544258835,0.012480741765038328
Fanno inverse,physics_guided_mlp,0.0034307355989019054,0.00376136391340266,0.004377866395066222,0.0064378883613494964,0.018618751371343167
Oblique inverse,physics_guided_mlp,0.0007990272159095416,0.004542613354351587,0.0005076044710824908,0.0009014819231781153,0.007116492005286856
Nozzle inverse,physics_guided_mlp,0.0019360482573404995,0.0047556296272876115,0.00352207755368644,0.004433208295213204,0.022882900859101163
Shock tube implicit,physics_guided_mlp,0.0009489588449447835,0.004209402370802048,0.0023877275321380915,0.004716549464153436,0.053728223668470854
